country;year;participant;medaille;f;propf;proph;propmf;propfm
France;2016;512;96;217;42;57;12;5
France;2014;201;18;74;36;63;4;1
France;2012;426;82;183;42;57;16;7
France;2010;196;14;71;36;63;11;4
France;2008;448;77;182;40;59;5;2
France;2006;159;15;69;43;56;8;3
France;2004;461;53;175;37;62;12;4
France;2002;176;15;49;27;72;12;3
France;2000;470;66;174;37;62;7;2
France;1998;159;15;54;33;66;5;1
France;1996;453;51;170;37;62;11;4
France;1994;169;11;63;37;62;7;2
France;1992;670;69;226;33;66;5;1
France;1988;528;31;149;28;71;1;0
France;1984;411;70;89;21;78;10;2
France;1980;244;30;42;17;82;16;2
France;1976;361;21;66;18;81;9;1
France;1972;425;25;87;20;79;2;0
France;1968;429;36;108;25;74;5;1
France;1964;264;38;57;21;78;12;2
France;1960;418;15;90;21;78;0;0
France;1956;279;33;49;17;82;2;0
France;1952;453;41;101;22;77;1;0
France;1948;458;74;65;14;85;6;0
France;1936;337;45;13;3;96;0;0
France;1932;99;39;4;4;95;25;1
France;1928;381;47;45;11;88;4;0
France;1924;540;117;32;5;94;6;0
France;1920;451;128;14;3;96;28;0
Germany;2016;536;159;246;45;54;27;12
Germany;2014;271;36;126;46;53;11;5
Germany;2012;510;94;231;45;54;11;5
Germany;2010;259;54;105;40;59;27;11
Germany;2008;558;99;245;43;56;17;7
Germany;2006;263;54;116;44;55;23;10
Germany;2004;592;149;243;41;58;30;12
Germany;2002;259;61;121;46;53;23;11
Germany;2000;567;118;238;41;58;24;10
Germany;1998;217;44;96;44;55;26;11
Germany;1996;626;124;245;39;60;19;7
Germany;1994;184;40;62;33;66;22;7
Germany;1992;846;236;321;37;62;31;11
Germany;1988;1171;342;410;35;64;31;11
Germany;1984;796;199;253;31;68;25;8
Germany;1980;700;311;250;35;64;55;19
Germany;1976;1061;337;358;33;66;35;11
Germany;1972;1232;283;333;27;72;24;6
Germany;1968;1000;119;239;23;76;12;3
Germany;1964;622;126;156;25;74;10;2
Germany;1960;535;98;137;25;74;21;5
Germany;1956;351;54;64;18;81;18;3
Germany;1952;535;52;116;21;78;10;2
Germany;1936;515;217;55;10;89;49;5
Germany;1932;140;54;14;10;90;14;1
Germany;1928;314;72;44;14;85;20;2
Russia;2016;406;115;203;50;50;40;20
Russia;2014;353;68;152;43;56;15;6
Russia;2012;549;140;283;51;48;25;13
Russia;2010;279;25;126;45;54;7;3
Russia;2008;600;142;285;47;52;28;13
Russia;2006;283;41;111;39;60;20;8
Russia;2004;593;189;265;44;55;34;15
Russia;2002;240;38;102;42;57;10;4
Russia;2000;602;187;269;44;55;33;14
Russia;1998;197;52;75;38;61;26;10
Russia;1996;552;115;233;42;57;13;5
Russia;1994;208;36;84;40;59;23;9
Russia;1992;864;279;326;37;62;35;13
Russia;1988;799;366;272;34;65;37;12
Russia;1984;143;56;42;29;70;23;6
Russia;1980;789;496;253;32;67;60;19
Russia;1976;695;342;224;32;67;53;17
Russia;1972;649;259;173;26;73;31;8
Russia;1968;592;229;162;27;72;35;9
Russia;1964;570;221;147;25;74;45;11
Russia;1960;505;211;129;25;74;39;10
