id;name;sex
19272;Sulo Elis Cederstrm (-Seteri);M
5778;Abbos Atayev;M
24720;Manoel Pereira da Silva;M
6390;David Baan;M
26090;Luis de Figueroa y Alonso-Martnez;M
30734;Daniel Dupont;M
2516;Aleksandar Aleksi;M
6471;"Richard Aldrich ""Rink"" Babka";M
2985;Eugenio Almenteros Prez;M
19716;Dhyan Chand Bais;M
22612;Blane Rapheal Comstock;M
24664;Tain Mayara da Paixo;F
19323;"Gerhardus Engelbertus ""Erik"" Cent";M
8070;Miguel Angel Barrenechea;M
11640;Ismar Biogradli;M
8640;Maurizio Battistini;M
24417;Richard A. Curtin;M
7209;Helmts Balderis-Sildedzis;M
14542;Yvonne Viola Brage (-Wernersson);F
22361;"Vernell Eufaye ""Bimbo"" Coles";M
24742;Aldemir Gomes da Silva Jnior;M
64;M'Bairo Abakar;M
3708;Cato Tom Andersen;M
19360;Marcel Andr Cerbonney;M
20316;Chen Yinglang;M
18273;Gerard Antoine Jan Carlier;M
4690;Klas Filip Cheick Tidjane Apelstav (-Niang);M
29719;Gerard Douis;M
1658;Rustam Fahimovych Akhmetov;M
15997;Juan Luis Bucetta Prez;M
16234;Marcelle Bhler;F
16967;Mario Bttner;M
6688;Ndiss Kaba Badji;M
27209;Louis Albert Armand Etienne Delaunoij;M
13434;Colin Aubrey Geddes Boreham;M
27389;Louis Deloy;M
29710;Sandra Marie Douglas;F
4522;"Mikaela Khaidi ""Heidi"" Antikatzidis";F
28946;Robert Doak;M
2687;Mamane Sani Ali;M
24263;Kreimir uljak;M
27207;Yohan Delattre;M
23549;Kirsty Leigh Coventry (-Seward);F
11051;Gonda Joyce Betrix (Butters-);F
28912;Stepan Dmitriyevsky;M
14969;Linda Bresonik;F
4264;Ang Peng Siong;M
28680;Jerry Dino;M
24290;Graham Charles Cumming;M
14656;Odd Arne Brandsegg;M
24498;Jan Cych;M
15953;Milan Brz;M
9823;Anastasiya Yevgenyevna Belyakova;F
18609;Gladys Helena Carson (-Hewitt);F
24342;Nick Cunningham;M
17349;Rafal Cal y Mayor;M
8238;Ralf Bartels;M
30844;Olanrewaju Durodola;M
22953;Sapphire June Mauricienne Cooper;F
9660;Nancy Rebecca Bell-Johnstone;F
28341;Mark Robert Dickel;M
23054;Pilar Lucrecia Cordn Muro;F
613;Kariman Abuljadayel;F
5397;Nataliya Petrovna Artyomova;F
30580;Marian Dumitru;M
13206;Laurence Bonici;F
26771;"Reindert Berend Jan ""Rein"" de Waal";M
30017;Jenna Louise Dreyer;F
13193;Giovanni Bongiorni;M
750;Seiya Adachi;M
21856;Glenn Clarke;M
6279;Andrs Antonio Ayub Valenzuela;M
31076;Serge Dyot;M
26299;Michael de la Roche;M
6978;Marek Antoni Bajor;M
20173;Chen Chin-Sen;M
9858;Rafik Ben Amor;M
18562;Yeseida Isaid Carrillo Torres;F
14927;Virgil Brenci;M
558;David Abrard;M
6576;Roman Bak;M
12909;Aauri Lorena Bokesa Abia;F
23440;Eugne Coulon;M
18288;Carlos Roberto Rocha Gallo;M
18299;Erik Ketil Carlsen;M
23480;"Francis Bernard ""Frank"" Courtney";M
