eno;sport;event
1;Swimming;Swimming Women's 4 x 100 metres Medley Relay
2;Archery;Archery Women's Team
3;Speed Skating;Speed Skating Women's 5,000 metres
4;Gymnastics;Gymnastics Men's Horse Vault
5;Sailing;Sailing Mixed 6.5 metres
6;Gymnastics;Gymnastics Men's Team All-Around
7;Weightlifting;Weightlifting Women's Lightweight
8;Freestyle Skiing;Freestyle Skiing Women's Slopestyle
9;Badminton;Badminton Women's Doubles
10;Rowing;Rowing Men's Quadruple Sculls
11;Athletics;Athletics Men's 10 kilometres Walk
12;Canoeing;Canoeing Men's Kayak Singles, 500 metres
13;Shooting;Shooting Men's Military Rifle, Prone, 600 metres
14;Wrestling;Wrestling Men's Featherweight, Freestyle
15;Synchronized Swimming;Synchronized Swimming Women's Duet
16;Fencing;Fencing Women's Foil, Team
17;Athletics;Athletics Women's High Jump
18;Judo;Judo Women's Middleweight
19;Weightlifting;Weightlifting Men's Heavyweight II
20;Table Tennis;Table Tennis Women's Team
21;Shooting;Shooting Men's Running Target, 50 metres
22;Cycling;Cycling Men's Road Race, Team
23;Luge;Luge Mixed Team Relay
24;Canoeing;Canoeing Men's Kayak Singles, Slalom
25;Cycling;Cycling Men's 100 kilometres Team Time Trial
26;Nordic Combined;Nordic Combined Men's Team
27;Athletics;Athletics Men's 4 x 100 metres Relay
28;Sailing;Sailing Men's Skiff
29;Rowing;Rowing Women's Coxed Eights
30;Badminton;Badminton Men's Singles
31;Diving;Diving Women's Platform
32;Swimming;Swimming Women's 200 metres Backstroke
33;Diving;Diving Men's Synchronized Platform
34;Sailing;Sailing Mixed Multihull
35;Athletics;Athletics Women's 4 x 400 metres Relay
36;Athletics;Athletics Men's 1,500 metres
37;Boxing;Boxing Men's Middleweight
38;Snowboarding;Snowboarding Women's Slopestyle
39;Snowboarding;Snowboarding Women's Parallel Slalom
40;Athletics;Athletics Men's 3,000 metres Walk
41;Canoeing;Canoeing Men's Kayak Singles, 200 metres
42;Shooting;Shooting Men's Skeet
43;Cycling;Cycling Men's Road Race, Individual
44;Cycling;Cycling Men's Keirin
45;Rowing;Rowing Men's Coxless Pairs
46;Rowing;Rowing Men's Coxed Pairs
47;Athletics;Athletics Women's 400 metres
48;Equestrianism;Equestrianism Mixed Dressage, Team
49;Athletics;Athletics Women's 200 metres
50;Athletics;Athletics Men's Hammer Throw
51;Ski Jumping;Ski Jumping Men's Large Hill, Team
52;Boxing;Boxing Men's Featherweight
53;Sailing;Sailing Mixed Three Person Keelboat
54;Archery;Archery Men's Team
55;Modern Pentathlon;Modern Pentathlon Men's Individual
56;Sailing;Sailing Men's One Person Dinghy
57;Ski Jumping;Ski Jumping Women's Normal Hill, Individual
58;Equestrianism;Equestrianism Men's Jumping, Individual
59;Archery;Archery Men's Pole Archery, Small Birds, Individual
60;Swimming;Swimming Women's 100 metres Backstroke
61;Figure Skating;Figure Skating Mixed Ice Dancing
62;Wrestling;Wrestling Women's Flyweight, Freestyle
63;Weightlifting;Weightlifting Men's Light-Heavyweight
64;Canoeing;Canoeing Men's Kayak Doubles, 500 metres
65;Archery;Archery Men's Target Archery, 33 metres, Individual
66;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay
67;Swimming;Swimming Men's 200 metres Butterfly
68;Taekwondo;Taekwondo Men's Flyweight
69;Shooting;Shooting Men's Free Rifle, 400, 600 and 800 metres, Team
70;Cycling;Cycling Women's 500 metres Time Trial
71;Canoeing;Canoeing Men's Kayak Doubles, 10,000 metres
72;Sailing;Sailing Mixed Two Person Dinghy
73;Athletics;Athletics Men's Cross-Country, Team
74;Cycling;Cycling Women's Individual Pursuit, 3,000 metres
75;Sailing;Sailing Mixed 12 metres
76;Gymnastics;Gymnastics Men's Rope Climbing
77;Wrestling;Wrestling Women's Heavyweight, Freestyle
78;Wrestling;Wrestling Women's Middleweight, Freestyle
79;Snowboarding;Snowboarding Women's Halfpipe
80;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group
81;Gymnastics;Gymnastics Men's Horizontal Bar
82;Wrestling;Wrestling Women's Light-Heavyweight, Freestyle
83;Rowing;Rowing Women's Double Sculls
84;Judo;Judo Men's Middleweight
85;Rowing;Rowing Women's Coxless Fours
